N = 64, model_type = GRU
Step = 1355, Energy = -52.271864-0.426893j, Var = 40.362358, Loss = 9.876792
Step = 1360, Energy = -52.679323+0.235388j, Var = 41.040831, Loss = -2.358959
Step = 1365, Energy = -52.764610+0.036928j, Var = 21.525102, Loss = 17.972305
Step = 1370, Energy = -51.715675+0.505076j, Var = 54.434854, Loss = -15.798733
Step = 1375, Energy = -52.366462-0.807646j, Var = 40.212438, Loss = -4.163593
Step = 1380, Energy = -52.132141-0.440928j, Var = 64.626398, Loss = -3.695815
Step = 1385, Energy = -52.009727-0.277388j, Var = 41.120139, Loss = 8.152582
Step = 1390, Energy = -52.373961+0.083315j, Var = 61.042610, Loss = -9.968844
Step = 1395, Energy = -51.456993-0.053468j, Var = 83.927247, Loss = -10.583767
Step = 1400, Energy = -50.317683+0.591761j, Var = 110.551613, Loss = 6.441180
Step = 1405, Energy = -52.718219+0.139653j, Var = 39.016973, Loss = -2.359012
Step = 1410, Energy = -52.273610-0.043272j, Var = 56.347266, Loss = -3.749377
Step = 1415, Energy = -52.141695-0.859286j, Var = 35.276976, Loss = 8.346123
Step = 1420, Energy = -51.765167-0.023228j, Var = 65.595125, Loss = -0.211000
Step = 1425, Energy = -52.678642+0.459658j, Var = 28.472107, Loss = 1.086068
Step = 1430, Energy = -52.108703+0.296717j, Var = 45.404989, Loss = 0.150996
Step = 1435, Energy = -52.737136-0.385925j, Var = 105.566783, Loss = -9.539708
Step = 1440, Energy = -52.231445-0.166865j, Var = 42.737954, Loss = 14.228297
Step = 1445, Energy = -52.965083-0.020843j, Var = 61.057999, Loss = -8.877365
Step = 1450, Energy = -54.404349+0.493356j, Var = 40.298421, Loss = 13.478246
Step = 1455, Energy = -53.931265-0.134683j, Var = 40.145000, Loss = 5.440239
Step = 1460, Energy = -50.060632-0.497584j, Var = 58.522654, Loss = -24.457151
Step = 1465, Energy = -48.854816-0.048976j, Var = 46.990867, Loss = 4.316267
Step = 1470, Energy = -47.803037+0.083543j, Var = 38.752476, Loss = -2.421825
Step = 1475, Energy = -49.741410-0.807384j, Var = 54.151807, Loss = 5.804771
Step = 1480, Energy = -49.703783-0.338287j, Var = 38.699204, Loss = -2.569439
Step = 1485, Energy = -49.519254-0.632225j, Var = 38.066480, Loss = -13.772631
Step = 1490, Energy = -49.720817-0.211212j, Var = 37.238450, Loss = 21.506300
Step = 1495, Energy = -50.217477+0.147666j, Var = 69.832059, Loss = 11.698553
Step = 1500, Energy = -50.649024+0.194126j, Var = 33.090391, Loss = -8.198108
Step = 1505, Energy = -49.428647+0.626315j, Var = 27.948299, Loss = -9.283142
Step = 1510, Energy = -49.777328-0.096828j, Var = 39.449926, Loss = -5.222167
Step = 1515, Energy = -50.121933-0.147250j, Var = 53.489519, Loss = 12.140322
Step = 1520, Energy = -49.381889-0.342994j, Var = 47.707237, Loss = -25.188571
Step = 1525, Energy = -50.641605-0.793850j, Var = 40.526437, Loss = 16.994868
Step = 1530, Energy = -49.105158+0.768028j, Var = 67.351017, Loss = -20.777921
Step = 1535, Energy = -50.336113-0.389317j, Var = 60.599626, Loss = 1.142135
Step = 1540, Energy = -44.618773-0.046369j, Var = 65.872627, Loss = -17.839624
Step = 1545, Energy = -41.562031+1.312922j, Var = 89.630204, Loss = 15.826757
Step = 1550, Energy = -42.785054+0.125556j, Var = 80.013424, Loss = -10.446968
Step = 1555, Energy = -45.439944+0.913935j, Var = 35.592155, Loss = -3.820998
Step = 1560, Energy = -47.804366-0.182647j, Var = 72.101633, Loss = -0.224194
Step = 1565, Energy = -48.573344-0.305001j, Var = 42.958794, Loss = -0.597127
Step = 1570, Energy = -48.173213+0.643342j, Var = 47.909175, Loss = 1.823862
Step = 1575, Energy = -48.167587-0.061800j, Var = 36.981521, Loss = -5.230914
Step = 1580, Energy = -48.815432+0.188267j, Var = 51.327463, Loss = -2.085676
Step = 1585, Energy = -50.008301-0.090001j, Var = 31.901721, Loss = -3.419795
Step = 1590, Energy = -50.347469-0.099803j, Var = 25.231716, Loss = 5.838251
Step = 1595, Energy = -51.220440-0.177651j, Var = 30.811524, Loss = -10.313415
Step = 1600, Energy = -51.108015-0.399142j, Var = 40.690876, Loss = 26.290289
Step = 1605, Energy = -50.114690+0.199553j, Var = 35.741995, Loss = -14.372928
Step = 1610, Energy = -51.655625+0.657414j, Var = 31.496291, Loss = 19.593546
Step = 1615, Energy = -50.933713+0.264416j, Var = 73.159204, Loss = 4.712120
Step = 1620, Energy = -50.883167+0.491300j, Var = 56.113218, Loss = 13.100460
Step = 1625, Energy = -50.043281-0.104072j, Var = 34.042191, Loss = -7.744018
Step = 1630, Energy = -49.897622+0.159467j, Var = 70.158126, Loss = -15.505428
Step = 1635, Energy = -51.103432+0.007513j, Var = 39.889780, Loss = 2.005738
Step = 1640, Energy = -50.861696+0.028778j, Var = 35.499123, Loss = -1.008003
Step = 1645, Energy = -50.463271+0.033569j, Var = 34.681742, Loss = -6.442712
Step = 1650, Energy = -49.984641+0.542975j, Var = 58.801931, Loss = -1.208456
Step = 1655, Energy = -51.482480-0.391321j, Var = 39.743772, Loss = 7.778515
Step = 1660, Energy = -51.423219+0.387832j, Var = 32.509109, Loss = -12.841307
Step = 1665, Energy = -51.720227+0.183355j, Var = 51.772221, Loss = -4.203432
Step = 1670, Energy = -51.125296-0.261515j, Var = 32.153359, Loss = 9.580691
Step = 1675, Energy = -51.943322-0.362880j, Var = 23.990131, Loss = -1.808843
